5209.7,6508.7,4848.4,4116.9,5181,2056.1,-1
1.6189e+07,6.9876e+06,2.3072e+06,1.1068e+07,4.1967e+06,6.1608e+05,-1
741.88,882.76,663.09,528.17,571.84,404.44,-1
2692.6,1340.9,791.6,1985.3,841.94,107.39,-1
8262.3,6218.1,5388,7627.5,4585.5,2695.7,-1
5464.9,1451,256.11,2609.3,710.48,118.96,-1
1117.2,583.4,227.22,816.25,323.55,78.316,-1
38.72,12.343,41.61,25.689,7.5375,19.895,-1
4.7016e+05,1.1879e+05,27094,2.6511e+05,83267,11084,-1
20.208,9.9231,17.655,14.682,4.8608,6.8076,-1
2.1607e+05,77863,26189,1.3568e+05,49160,13343,-1
9333.8,4998.6,2027.3,8042,2486.4,912.5,-1
13969,6189.6,1957,8607.8,2767.7,1032.2,-1
